priority_rank,ticker,company,exchange,market_cap_usd,sector,cik,priority_method,filer_category,last_annual,existing_catalog_match,existing_leader_count,existing_leader_ids,existing_leader_names,existing_x_handles,research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,recommended_categories,sp500_member,nasdaq100_member,confidence,review_status,review_notes
11,BRK-B,Berkshire Hathaway,NYSE,1099500000000,金融,0001067983,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
12,LLY,Lilly (Eli),NYSE,1085800000000,医疗健康,0000059478,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
13,JPM,JPMorgan Chase,NYSE,936900000000,金融,0000019617,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
14,AMD,Advanced Micro Devices,NASDAQ,912800000000,科技,0000002488,market_cap,,,yes,3,su|panos-panay-amzn|mark-papermaster-amd,Lisa Su|Panos Panay|Mark Papermaster,LisaSu|panos_panay|mpaper2000,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
15,WMT,Walmart,NASDAQ,849400000000,必需消费,0000104169,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
16,V,Visa Inc.,NYSE,705900000000,金融,0001403161,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
17,XOM,ExxonMobil,NYSE,677900000000,能源,0002115436,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
18,JNJ,Johnson & Johnson,NYSE,649900000000,医疗健康,0000200406,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
19,INTC,Intel,NASDAQ,545800000000,科技,0000050863,market_cap,,,yes,5,sutskever|gelsinger|lip-bu-tan|sergey-levine|chelsea-finn,Ilya Sutskever|Pat Gelsinger|Lip-Bu Tan|Sergey Levine|Chelsea Finn,ilyasut|PGelsinger|LipBuTan1|svlevine|chelseabfinn,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
20,MA,Mastercard,NYSE,499400000000,金融,0001141391,market_cap,,,yes,1,michael-miebach-ma,Michael Miebach,MiebachMichael,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
21,ABBV,AbbVie,NYSE,466400000000,医疗健康,0001551152,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
22,CSCO,Cisco,NASDAQ,431600000000,科技,0000858877,market_cap,,,yes,5,chuck-robbins|john-t-chambers-csco|jeetu-patel-csco|dug-song-csco|jon-oberheide-csco,Chuck Robbins|John T. Chambers|Jeetu Patel|Dug Song|Jon Oberheide,ChuckRobbins|JohnTChambers|jpatel41|dugsong|jonoberheide,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
23,ORCL,Oracle Corporation,NYSE,425200000000,科技,0001341439,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
24,CVX,Chevron Corporation,NYSE,417300000000,能源,0000093410,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
25,BAC,Bank of America,NYSE,409700000000,金融,0000070858,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
26,PLTR,Palantir Technologies,NASDAQ,407900000000,科技,0001321655,market_cap,,,yes,1,joe-lonsdale-pltr,Joe Lonsdale,JTLonsdale,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
27,COST,Costco,NASDAQ,397100000000,必需消费,0000909832,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
28,KO,Coca-Cola Company (The),NYSE,379700000000,必需消费,0000021344,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
29,DELL,Dell Technologies,NYSE,377300000000,科技,0001571996,market_cap,,,yes,1,dell,Michael Dell,MichaelDell,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
30,CAT,Caterpillar Inc.,NYSE,372700000000,工业,0000018230,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
31,MRK,Merck & Co.,NYSE,362700000000,医疗健康,0000310158,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
32,LRCX,Lam Research,NASDAQ,360300000000,科技,0000707549,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
33,AMAT,Applied Materials,NASDAQ,353000000000,科技,0000006951,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
34,UNH,UnitedHealth Group,NYSE,342300000000,医疗健康,0000731766,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
35,PG,Procter & Gamble,NYSE,340900000000,必需消费,0000080424,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
36,GE,GE Aerospace,NYSE,328400000000,工业,0000040545,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
37,MS,Morgan Stanley,NYSE,319500000000,金融,0000895421,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
38,NFLX,Netflix,NASDAQ,302300000000,通信服务,0001065280,market_cap,,,yes,2,reed-hastings-nflx|marc-randolph-nflx,Reed Hastings|Marc Randolph,reedhastings|marcrandolph,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
39,HD,Home Depot (The),NYSE,299100000000,可选消费,0000354950,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
40,PM,Philip Morris International,NYSE,294000000000,必需消费,0001413329,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
41,GS,Goldman Sachs,NYSE,277900000000,金融,0000886982,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
42,SNDK,Sandisk Corporation,NASDAQ,265400000000,科技,0002023554,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
43,WFC,Wells Fargo,NYSE,263500000000,金融,0000072971,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
44,RTX,RTX Corporation,NYSE,261300000000,工业,0000101829,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
45,GEV,GE Vernova,NYSE,252700000000,公用事业,0001996810,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
46,ANET,Arista Networks,NYSE,251100000000,科技,0001596532,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
47,PANW,Palo Alto Networks,NASDAQ,247800000000,科技,0001327567,market_cap,,,yes,2,nikesh-arora|nir-zuk-panw,Nikesh Arora|Nir Zuk,nikesharora|nirzuk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
48,TXN,Texas Instruments,NASDAQ,242700000000,科技,0000097476,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
49,TMO,Thermo Fisher Scientific,NYSE,242100000000,医疗健康,0000097745,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
50,KLAC,KLA Corporation,NASDAQ,231200000000,科技,0000319201,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
51,C,Citigroup,NYSE,224700000000,金融,0000831001,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
52,IBM,IBM,NYSE,215800000000,科技,0000051143,market_cap,,,yes,2,krishna|armon-dadgar-ibm,Arvind Krishna|Armon Dadgar,ArvindKrishna|armon,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
53,MRVL,"Marvell Technology, Inc.",NASDAQ,213700000000,科技,0001835632,market_cap,,,yes,1,balaji-srinivasan-private,Balaji Srinivasan,balajis,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
54,AXP,American Express,NYSE,212600000000,金融,0000004962,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
55,AMGN,Amgen,NASDAQ,208100000000,医疗健康,0000318154,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
56,VZ,Verizon,NYSE,200800000000,通信服务,0000732712,market_cap,,,yes,1,dan-schulman-vz,Dan Schulman,Dan_Schulman,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
57,CRM,Salesforce,NYSE,194900000000,科技,0001108524,market_cap,,,yes,3,benioff|parker-harris-crm|cal-henderson-crm,Marc Benioff|Parker Harris|Cal Henderson,Benioff|parkerharris|calhenderson,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
58,QCOM,Qualcomm,NASDAQ,187300000000,科技,0000804328,market_cap,,,yes,2,amon|chris-lattner-qcom,Cristiano Amon|Chris Lattner,cristianoamon|clattner_llvm,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
59,GILD,Gilead Sciences,NASDAQ,186400000000,医疗健康,0000882095,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
60,DE,Deere & Company,NYSE,184600000000,工业,0000315189,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
61,ADI,Analog Devices,NASDAQ,183000000000,科技,0000006281,market_cap,,,yes,1,panos-panay-amzn,Panos Panay,panos_panay,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
62,SCHW,Charles Schwab Corporation,NYSE,183000000000,金融,0000316709,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
63,TMUS,T-Mobile US,NASDAQ,182000000000,通信服务,0001283699,market_cap,,,yes,1,john-legere-tmus,John Legere,JohnLegere,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
64,ABT,Abbott Laboratories,NYSE,178700000000,医疗健康,0000001800,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
65,DIS,Walt Disney Company (The),NYSE,178300000000,通信服务,0001744489,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
66,PEP,PepsiCo,NASDAQ,177400000000,必需消费,0000077476,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
67,T,AT&T,NYSE,176500000000,通信服务,0000732717,market_cap,,,yes,4,mullenweg|preston-werner|scott-chacon-private|jack-altman-private,Matt Mullenweg|Tom Preston-Werner|Scott Chacon|Jack Altman,photomatt|mojombo|chacon|jaltma,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
68,MCD,McDonald's,NYSE,176400000000,可选消费,0000063908,market_cap,,,no,0,,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,needs_research,
