batch_rank,research_score,review_tier,priority_rank,ticker,company,exchange,market_cap_usd,market_cap_bucket,sector,priority_method,filer_category,last_annual,recommended_categories,cik,existing_catalog_match,existing_leader_count,existing_leader_names,existing_x_handles,source_research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,sp500_member,nasdaq100_member,confidence,review_status,review_notes
11,88,A,6,SPCX,SpaceX,NASDAQ,2011200000000,mega_500b_plus,工业,market_cap,,,上市公司|NASDAQ|工业,0001181412,yes,1,Elon Musk,elonmusk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
12,88,A,22,CSCO,Cisco,NASDAQ,431600000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技,0000858877,yes,1,Chuck Robbins,ChuckRobbins,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
13,87,A,16,V,Visa Inc.,NYSE,705900000000,mega_500b_plus,金融,market_cap,,,上市公司|NYSE|金融|金融科技,0001403161,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
14,86,A,5,AMZN,Amazon,NASDAQ,2729200000000,mega_500b_plus,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0001018724,yes,3,Jeff Bezos|Andy Jassy|Werner Vogels,JeffBezos|ajassy|Werner,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
15,86,A,9,TSLA,"Tesla, Inc.",NASDAQ,1368100000000,mega_500b_plus,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0001318605,yes,1,Elon Musk,elonmusk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
16,85,A,11,BRK-B,Berkshire Hathaway,NYSE,1099500000000,mega_500b_plus,金融,market_cap,,,上市公司|NYSE|金融,0001067983,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
17,85,A,13,JPM,JPMorgan Chase,NYSE,936900000000,mega_500b_plus,金融,market_cap,,,上市公司|NYSE|金融,0000019617,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
18,84,B,12,LLY,Lilly (Eli),NYSE,1085800000000,mega_500b_plus,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000059478,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
19,84,B,17,XOM,ExxonMobil,NYSE,677900000000,mega_500b_plus,能源,market_cap,,,上市公司|NYSE|能源,0002115436,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
20,84,B,18,JNJ,Johnson & Johnson,NYSE,649900000000,mega_500b_plus,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000200406,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
21,84,B,20,MA,Mastercard,NYSE,499400000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融|金融科技,0001141391,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
22,83,B,26,PLTR,Palantir Technologies,NASDAQ,407900000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|AI|软件,0001321655,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
23,82,B,15,WMT,Walmart,NASDAQ,849400000000,mega_500b_plus,必需消费,market_cap,,,上市公司|NASDAQ|消费零售,0000104169,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
24,82,B,25,BAC,Bank of America,NYSE,409700000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000070858,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
25,82,B,29,DELL,Dell Technologies,NYSE,377300000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0001571996,yes,1,Michael Dell,MichaelDell,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
26,82,B,47,PANW,Palo Alto Networks,NASDAQ,247800000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技,0001327567,yes,1,Nikesh Arora,nikesharora,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
27,81,B,21,ABBV,AbbVie,NYSE,466400000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0001551152,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
28,81,B,24,CVX,Chevron Corporation,NYSE,417300000000,large_100_500b,能源,market_cap,,,上市公司|NYSE|能源,0000093410,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
29,81,B,32,LRCX,Lam Research,NASDAQ,360300000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000707549,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
30,81,B,33,AMAT,Applied Materials,NASDAQ,353000000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000006951,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
31,81,B,42,SNDK,Sandisk Corporation,NASDAQ,265400000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0002023554,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
32,81,B,48,TXN,Texas Instruments,NASDAQ,242700000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000097476,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
33,81,B,50,KLAC,KLA Corporation,NASDAQ,231200000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000319201,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
34,79,B,46,ANET,Arista Networks,NYSE,251100000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0001596532,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
35,78,B,36,GE,GE Aerospace,NYSE,328400000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000040545,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
36,78,B,44,RTX,RTX Corporation,NYSE,261300000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000101829,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
37,77,B,38,NFLX,Netflix,NASDAQ,302300000000,large_100_500b,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001065280,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
38,76,B,30,CAT,Caterpillar Inc.,NYSE,372700000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业,0000018230,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
39,76,B,37,MS,Morgan Stanley,NYSE,319500000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000895421,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
40,76,B,41,GS,Goldman Sachs,NYSE,277900000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000886982,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
41,76,B,43,WFC,Wells Fargo,NYSE,263500000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000072971,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
42,75,B,31,MRK,Merck & Co.,NYSE,362700000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000310158,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
43,75,B,34,UNH,UnitedHealth Group,NYSE,342300000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000731766,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
44,75,B,49,TMO,Thermo Fisher Scientific,NYSE,242100000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000097745,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
45,74,B,39,HD,Home Depot (The),NYSE,299100000000,large_100_500b,可选消费,market_cap,,,上市公司|NYSE|消费零售,0000354950,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
46,74,B,52,IBM,IBM,NYSE,215800000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0000051143,yes,1,Arvind Krishna,ArvindKrishna,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
47,74,B,53,MRVL,"Marvell Technology, Inc.",NASDAQ,213700000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技,0001835632,yes,1,Kevin Rose,kevinrose,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
48,74,B,57,CRM,Salesforce,NYSE,194900000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0001108524,yes,1,Marc Benioff,Benioff,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
49,74,B,58,QCOM,Qualcomm,NASDAQ,187300000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技,0000804328,yes,1,Cristiano Amon,cristianoamon,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
50,74,B,80,UBER,Uber,NYSE,143500000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0001543151,yes,1,Dara Khosrowshahi,dkhos,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
51,74,B,82,NOW,ServiceNow,NYSE,139700000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0001373715,yes,1,Bill McDermott,BillRMcDermott,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
52,73,B,27,COST,Costco,NASDAQ,397100000000,large_100_500b,必需消费,market_cap,,,上市公司|NASDAQ|消费零售,0000909832,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
53,73,B,28,KO,Coca-Cola Company (The),NYSE,379700000000,large_100_500b,必需消费,market_cap,,,上市公司|NYSE|消费零售,0000021344,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
54,73,B,35,PG,Procter & Gamble,NYSE,340900000000,large_100_500b,必需消费,market_cap,,,上市公司|NYSE|消费零售,0000080424,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
55,73,B,40,PM,Philip Morris International,NYSE,294000000000,large_100_500b,必需消费,market_cap,,,上市公司|NYSE|消费零售,0001413329,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
56,73,B,45,GEV,GE Vernova,NYSE,252700000000,large_100_500b,公用事业,market_cap,,,上市公司|NYSE|能源,0001996810,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
57,73,B,61,ADI,Analog Devices,NASDAQ,183000000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000006281,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
58,73,B,77,WDC,Western Digital,NASDAQ,152100000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|芯片,0000106040,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
59,73,B,93,FTNT,Fortinet,NASDAQ,124400000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|网络安全,0001262039,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
60,72,B,67,T,AT&T,NYSE,176500000000,large_100_500b,通信服务,market_cap,,,上市公司|NYSE|通信服务,0000732717,yes,1,Matt Mullenweg,photomatt,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
61,71,B,87,GLW,Corning Inc.,NYSE,129200000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技,0000024741,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
62,70,B,74,PFE,Pfizer,NYSE,157600000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000078003,yes,1,Albert Bourla,AlbertBourla,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
63,70,B,75,BA,Boeing,NYSE,156200000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000012927,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
64,70,B,76,IBKR,Interactive Brokers Group,NASDAQ,156000000000,large_100_500b,金融,market_cap,,,上市公司|NASDAQ|金融|金融科技,0001381197,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
65,70,B,95,LMT,Lockheed Martin,NYSE,123000000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000936468,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
66,69,C,56,VZ,Verizon,NYSE,200800000000,large_100_500b,通信服务,market_cap,,,上市公司|NYSE|通信服务,0000732712,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
